,Star ID,RA,DE,Magnitude
11550,11550,0.2640593,1.06127906,5.9
11556,11556,0.26711602,1.07010771,5.9
11611,11611,0.29340607,1.19578267,5.3
11614,11614,0.29745567,1.11592135,5.5
11616,11616,0.29849363,1.13016362,5.5
11750,11750,0.35941013,1.18455307,5.0
11918,11918,0.4302529,1.18317926,5.5
11940,11940,0.43599511,1.0524347,5.8
11982,11982,0.45424755,1.11014649,5.7
12030,12030,0.48333826,1.10697455,3.4
12037,12037,0.48904818,1.1945173,5.0
12064,12064,0.5017237,1.0725935,6.0
12075,12075,0.50579185,1.12363328,5.2
12094,12094,0.51977957,1.12855176,5.9
12096,12096,0.52044178,1.11962377,5.6
12297,12297,0.63230778,1.17249891,4.6
12420,12420,0.70028014,1.18008678,5.8
12471,12471,0.73077511,1.19874653,6.0
12516,12516,0.75033095,1.07021529,5.6
12607,12607,0.7989585,1.11466141,5.8
12703,12703,0.85330544,1.14269479,4.8
12742,12742,0.87401588,1.12415731,5.5
12873,12873,0.95030881,1.10055062,5.3
12889,12889,0.96542103,1.17019469,5.8
12890,12890,0.96710687,1.10286381,5.0
12915,12915,0.98139399,1.14098893,4.7
12916,12916,0.98263572,1.10210115,6.0
12967,12967,1.01602707,1.06403518,5.2
12968,12968,1.01661409,1.09830084,4.9
13074,13074,1.10160812,1.077339,5.6
13097,13097,1.1167874,1.13483233,5.4
13112,13112,1.12325028,1.0580057,5.7
13195,13195,1.18551243,1.11979719,5.9
13290,13290,1.25399188,1.10693542,5.8
13297,13297,1.26127856,1.15646796,4.4
13350,13350,1.30446033,1.05368736,4.2
13408,13408,1.34590418,1.07845039,6.0
13459,13459,1.37750242,1.09263056,5.9
13517,13517,1.42000156,1.10005257,5.8
13549,13549,1.45039552,1.11919423,6.0
13569,13569,1.47228981,1.14622079,5.8
13755,13755,1.60492508,1.14723013,5.4
13771,13771,1.61960279,1.04747191,5.6
13786,13786,1.628851,1.07397628,5.3
13787,13787,1.62900306,1.21022614,4.7
13896,13896,1.71533163,1.07386405,6.0
13972,13972,1.77040921,1.18036923,5.0
13985,13985,1.78165058,1.20339831,5.1
14210,14210,1.94471189,1.19678633,5.8
14320,14320,2.01544783,1.14454916,6.0
14401,14401,2.08326653,1.05528473,6.0
14406,14406,2.08587885,1.1035696,6.0
14455,14455,2.128705,1.19771261,5.5
14499,14499,2.15964039,1.09368958,5.8
14567,14567,2.20382667,1.1774731,6.0
14572,14572,2.20839645,1.06268522,3.5
14589,14589,2.22594465,1.14000946,5.4
14608,14608,2.24614443,1.13788156,5.7
14615,14615,2.25088977,1.12581891,4.8
14690,14690,2.30939917,1.08474341,5.7
14702,14702,2.32286489,1.13092391,5.6
14741,14741,2.34775678,1.18379482,5.0
14768,14768,2.37378581,1.1706954,5.3
14787,14787,2.38245668,1.17529342,4.9
14795,14795,2.38594661,1.11210058,4.7
