,Star ID,RA,DE,Magnitude
307,307,0.47478673,1.55384598,2.1
8101,8101,-2.39621742,1.2978248,2.2
11481,11481,0.23418858,1.05499035,2.8
15383,15383,2.88267088,1.08247647,2.0
17073,17073,-1.99269505,1.07559357,2.9
19301,19301,-0.7095359,1.08861877,2.6
21132,21132,0.02834233,1.02754694,2.4
21608,21608,0.16430189,0.98198332,2.5
22267,22267,0.3600831,1.04678236,2.8
27875,27875,2.87472099,0.98874415,2.4
28178,28178,3.10323658,0.94200258,2.5
28552,28552,-2.91542095,0.98141386,1.7
28736,28736,-2.78416987,0.96317672,2.4
30428,30428,-1.70474969,0.91346485,3.0
30652,30652,-1.59068027,0.89874048,2.4
37733,37733,0.52717503,0.73462368,2.3
38591,38591,0.80680434,0.711476,2.9
38786,38786,0.87589647,0.86716703,1.9
40185,40185,1.36568131,0.80196929,0.2
40749,40749,1.55273065,0.78443188,2.1
44751,44751,-2.68094978,0.86502459,1.9
48795,48795,-1.11957991,0.78553503,3.0
49527,49527,-0.95804562,0.69980227,2.3
49940,49940,-0.87386169,0.78715862,1.3
54470,54470,0.2920122,0.61707929,2.4
56798,56798,1.00785195,0.55391199,2.9
56839,56839,1.02315798,0.69581691,3.0
57521,57521,1.28165215,0.57750977,2.9
58635,58635,1.55469764,0.64945665,2.7
60197,60197,1.96965163,0.55850085,1.6
63256,63256,-2.90732015,0.67348775,2.9
64202,64202,-2.48681514,0.67240807,3.0
65484,65484,-1.92248111,0.55313421,3.0
67173,67173,-1.41701427,0.67607113,0.1
70473,70473,-0.85439916,0.58960689,2.6
73764,73764,0.02529571,0.50290751,2.1
75011,75011,0.48813515,0.3589177,2.7
75150,75150,0.5425732,0.405387,2.2
76198,76198,0.97959689,0.41804306,3.0
77167,77167,1.40991406,0.49859083,1.8
77335,77335,1.46020522,0.36850688,3.0
79665,79665,2.01698372,0.49128648,1.2
81297,81297,2.69312449,0.35072808,2.6
81726,81726,2.9297595,0.36299295,2.6
83499,83499,-2.43123368,0.47619689,2.7
83892,83892,-2.21408512,0.46917723,2.3
84410,84410,-1.97192352,0.37694341,2.8
90980,90980,-0.25592563,0.48539764,2.6
91780,91780,0.0465019,0.26015379,2.9
94026,94026,1.19139783,0.28641585,1.1
95911,95911,1.7227415,0.28699709,1.9
98966,98966,2.64291187,0.2131461,1.3
99808,99808,3.0827318,0.25920951,2.2
100383,100383,-2.8811597,0.19595636,3.0
100765,100765,-2.65157924,0.32546197,2.8
100943,100943,-2.55961625,0.3393257,0.2
102931,102931,-1.69030076,0.21982383,2.1
104460,104460,-1.29542351,0.24064144,3.0
105222,105222,-1.11752653,0.18308688,2.8
108377,108377,-0.25190475,0.26068,2.6
110919,110919,0.78392512,0.06797645,2.8
112739,112739,1.40694104,0.110061,1.7
113270,113270,1.53791208,0.12914428,0.6
115755,115755,1.99266547,0.09345661,0.5
121156,121156,-2.17379659,0.11487141,2.8
122670,122670,-1.65369648,0.08005166,2.9
125121,125121,-1.09806007,0.1524531,0.9
127028,127028,-0.60331988,0.1683355,2.5
