,Star ID,RA,DE,Magnitude
105,105,0.15667611,1.43497888,6.4
142,142,0.21837139,1.45624411,5.5
161,161,0.24541643,1.40107988,6.6
167,167,0.25197582,1.42430789,6.8
170,170,0.25328256,1.47198708,6.7
180,180,0.26840197,1.50080993,4.5
192,192,0.29253973,1.51635762,6.4
208,208,0.30959836,1.5490712,6.5
220,220,0.32583043,1.40727895,6.7
307,307,0.47478673,1.55384598,2.1
343,343,0.53719693,1.4147413,6.0
344,344,0.541317,1.41800371,6.8
358,358,0.56227258,1.45436701,6.9
403,403,0.64858777,1.45937674,6.8
432,432,0.69999143,1.41789816,5.9
499,499,0.80197559,1.41861574,6.0
549,549,0.87311703,1.47898968,5.8
593,593,0.96668072,1.39919972,6.7
622,622,1.00912939,1.50951268,5.8
649,649,1.05401008,1.40613484,5.3
669,669,1.08809302,1.40343467,6.6
684,684,1.11877533,1.46071051,5.4
690,690,1.12678421,1.4086501,5.6
692,692,1.1293265,1.45257281,5.7
694,694,1.13400551,1.49081807,6.7
782,782,1.26932169,1.41575073,5.3
842,842,1.36935959,1.49914305,6.5
872,872,1.42548945,1.49466705,6.5
913,913,1.50784646,1.48657105,6.4
1036,1036,1.70239329,1.51381753,6.6
1042,1042,1.71909223,1.43402452,6.4
1163,1163,1.9022809,1.41989288,6.2
1167,1167,1.91045333,1.52064002,5.3
1178,1178,1.92284255,1.44014083,5.1
1193,1193,1.94449961,1.4137756,6.5
1253,1253,2.04254327,1.40316293,6.5
1299,1299,2.11721172,1.46971709,6.4
1318,1318,2.16008712,1.44147722,6.2
1377,1377,2.25815826,1.43850648,6.7
1400,1400,2.2946435,1.5493423,7.0
1452,1452,2.37316171,1.41428199,6.5
1460,1460,2.37920535,1.47281825,6.3
1550,1550,2.48763146,1.42331756,4.6
1636,1636,2.62179506,1.46890696,6.5
1680,1680,2.69827568,1.44957923,6.9
1700,1700,2.71704154,1.47494255,5.6
1713,1713,2.72779727,1.44538497,5.3
1734,1734,2.75321967,1.40941286,6.6
1757,1757,2.7866985,1.40829071,6.7
1883,1883,3.00367129,1.4207463,6.1
1966,1966,3.13173323,1.41602242,6.4
1974,1974,-3.1321478,1.49861203,6.4
1990,1990,-3.10326391,1.43096103,6.3
2009,2009,-3.07723487,1.53549011,6.3
2011,2011,-3.07435908,1.51343928,6.3
2079,2079,-2.95327329,1.41188153,6.3
2100,2100,-2.92933246,1.46065922,5.8
2101,2101,-2.92880545,1.46057127,5.3
2163,2163,-2.82766246,1.40910437,6.3
2265,2265,-2.68920723,1.4486864,6.2
2288,2288,-2.6543189,1.41396191,6.8
2432,2432,-2.43935949,1.50366902,7.0
2458,2458,-2.38429762,1.44371265,5.7
2555,2555,-2.21655113,1.40701342,6.5
2561,2561,-2.21290957,1.41265437,7.0
2563,2563,-2.2083848,1.43870065,6.9
2565,2565,-2.20545621,1.48343547,7.0
2575,2575,-2.18255306,1.40979281,7.0
2587,2587,-2.17157028,1.39873033,6.9
2602,2602,-2.14749048,1.49124165,7.0
2603,2603,-2.14712862,1.41520648,7.0
2769,2769,-1.8717998,1.43331063,4.4
2792,2792,-1.83023559,1.41255212,6.7
2858,2858,-1.73059452,1.39945619,5.9
2936,2936,-1.62182262,1.51162375,4.4
2939,2939,-1.61790217,1.51830041,5.9
3019,3019,-1.47757981,1.55423267,6.5
3055,3055,-1.43642182,1.451108,6.1
3058,3058,-1.43201065,1.51195493,6.8
3132,3132,-1.32354039,1.46331546,6.8
3145,3145,-1.3118461,1.43643438,6.8
3208,3208,-1.21452888,1.45506825,6.3
3331,3331,-1.01714422,1.47527024,6.6
3363,3363,-0.97145193,1.40283621,6.8
3403,3403,-0.91690595,1.44889972,6.8
3404,3404,-0.91600863,1.41835709,6.9
3407,3407,-0.90989795,1.41813577,5.6
3412,3412,-0.90567861,1.412283,6.1
3417,3417,-0.89782368,1.45655876,6.2
3457,3457,-0.84504194,1.43724126,5.7
3466,3466,-0.82941485,1.40264898,5.6
3503,3503,-0.75953347,1.41301013,6.9
3533,3533,-0.71771204,1.41410173,6.0
3567,3567,-0.67036612,1.40162859,6.1
3635,3635,-0.57794083,1.46268855,7.0
3657,3657,-0.54444258,1.39750229,6.6
3720,3720,-0.44697744,1.49849611,5.4
3721,3721,-0.44602994,1.50048428,6.8
3736,3736,-0.42225652,1.42566183,7.0
3745,3745,-0.40968287,1.40405092,6.8
3768,3768,-0.35196294,1.41599653,6.9
3793,3793,-0.31531663,1.44668039,5.0
3807,3807,-0.29498412,1.4853818,6.2
3815,3815,-0.28410614,1.46745247,5.0
3829,3829,-0.26004271,1.40520424,6.7
3903,3903,-0.15510748,1.50347127,6.6
3915,3915,-0.14150184,1.51899098,5.6
3993,3993,-0.02589377,1.44710218,6.4
4005,4005,-0.01282612,1.50845578,6.7
4047,4047,0.02850406,1.38643846,6.2
4070,4070,0.0582932,1.33819882,6.2
4100,4100,0.08453844,1.24321058,7.0
4113,4113,0.10006846,1.2484409,6.9
4117,4117,0.10410162,1.39234742,6.5
4129,4129,0.1206992,1.33943572,6.4
4141,4141,0.13225837,1.2340572,6.4
4175,4175,0.15990453,1.33686815,7.0
4201,4201,0.17849083,1.23133502,6.9
4215,4215,0.18459978,1.30402605,5.6
4225,4225,0.19368254,1.30157871,5.4
4228,4228,0.19570182,1.26365212,6.0
4243,4243,0.20425182,1.23049455,7.0
4246,4246,0.20619866,1.35580357,6.8
4277,4277,0.23949475,1.22568651,6.9
4287,4287,0.2492715,1.23419029,6.5
4315,4315,0.26701705,1.29336339,6.8
4326,4326,0.27684376,1.23332814,6.6
4330,4330,0.28297641,1.39182464,6.4
4340,4340,0.29614776,1.38594269,5.7
4353,4353,0.31416487,1.39007393,6.4
4357,4357,0.31664404,1.24756256,6.4
4375,4375,0.33202271,1.34926392,6.4
4386,4386,0.33977198,1.32606291,6.5
4390,4390,0.34599524,1.36947337,6.1
4400,4400,0.35806281,1.23430213,6.5
4421,4421,0.38167253,1.22187442,6.0
4447,4447,0.4067487,1.29235338,6.4
4452,4452,0.41222278,1.27035952,5.5
4460,4460,0.41959701,1.35640173,6.6
4469,4469,0.43203612,1.22820657,5.3
4472,4472,0.43420062,1.29770621,6.8
4502,4502,0.46795674,1.31498449,6.9
4508,4508,0.4783656,1.36050864,6.9
4511,4511,0.48325543,1.32608599,7.0
4523,4523,0.49431711,1.31061496,6.7
4549,4549,0.51249849,1.31355433,6.6
4553,4553,0.5140378,1.23335277,4.6
4554,4554,0.51404289,1.35569594,6.4
4558,4558,0.51791091,1.28473875,6.2
4559,4559,0.5197555,1.25979237,4.1
4561,4561,0.52376109,1.34464747,5.4
4564,4564,0.526559,1.32429121,5.3
4587,4587,0.54444383,1.24474444,6.7
4593,4593,0.55426174,1.38677623,6.5
4598,4598,0.56153242,1.28795302,6.2
4600,4600,0.56821739,1.37788014,7.0
4674,4674,0.65039223,1.33516466,6.9
4676,4676,0.65185547,1.2405044,6.7
4693,4693,0.66859165,1.26713561,5.3
4762,4762,0.74336323,1.27703472,6.8
4781,4781,0.75507301,1.34181941,7.0
4809,4809,0.78257874,1.38271936,5.7
4839,4839,0.81359389,1.29514155,4.9
4851,4851,0.82245049,1.39530619,7.0
4857,4857,0.82779861,1.28600722,6.8
4862,4862,0.83164241,1.373412,6.7
4874,4874,0.84604552,1.35357367,5.5
4896,4896,0.86600133,1.29146637,6.9
4916,4916,0.89491198,1.2512677,6.8
4935,4935,0.91490211,1.27723728,6.4
4952,4952,0.93081922,1.31905692,6.4
4971,4971,0.95667671,1.29826845,6.8
4999,4999,0.97735828,1.2342793,5.4
5005,5005,0.98193817,1.24234277,4.7
5037,5037,1.00678985,1.2903958,7.0
5039,5039,1.00824807,1.25098942,6.4
5045,5045,1.01420248,1.26676976,6.8
5061,5061,1.02994404,1.36246166,7.0
5087,5087,1.05255702,1.28921441,6.7
5088,5088,1.05296783,1.30032134,6.9
5103,5103,1.06252954,1.28172932,6.9
5124,5124,1.08265697,1.25662412,6.1
5163,5163,1.11142356,1.32621359,6.6
5237,5237,1.16798401,1.26404036,6.0
5280,5280,1.20848613,1.38863428,6.6
